date,open,close
2006-01-03,195.0,199.75
2006-01-04,199.75,197.25
2006-01-05,196.5,194.0
2006-01-06,193.25,191.25
2006-01-09,192.0,185.25
2006-01-10,185.0,186.0
2006-01-11,186.5,188.75
2006-01-12,188.75,188.75
2006-01-13,189.0,190.25
2006-01-17,190.0,185.75
2006-01-18,185.75,185.0
2006-01-19,185.75,187.75
2006-01-20,188.5,190.75
2006-01-23,190.75,189.75
2006-01-24,189.5,190.75
2006-01-25,190.0,195.75
2006-01-26,195.75,189.25
2006-01-27,188.75,190.75
2006-01-30,192.5,193.0
2006-01-31,192.5,192.0
2006-02-01,192.0,192.0
2006-02-02,192.5,196.0
2006-02-03,196.5,202.0
2006-02-06,202.0,201.75
2006-02-07,188.75,188.75
2006-02-08,189.0,191.5
2006-02-09,193.0,193.0
2006-02-10,196.0,191.5
2006-02-13,190.5,189.75
2006-02-14,189.75,189.0
2006-02-15,187.0,192.0
2006-02-16,190.75,189.75
2006-02-17,192.0,192.0
2006-02-21,189.0,187.0
2006-02-22,187.75,187.75
2006-02-23,189.0,189.0
2006-02-24,189.5,189.5
2006-02-27,189.5,188.0
2006-02-28,186.5,182.0
2006-03-01,179.5,179.5
2006-03-02,182.5,182.5
2006-03-03,183.0,183.0
2006-03-06,184.0,184.0
2006-03-07,183.25,183.25
2006-03-08,180.25,180.25
2006-03-09,180.5,180.5
2006-03-10,182.0,182.0
2006-03-13,181.5,181.5
2006-03-14,181.0,181.0
2006-03-15,184.0,178.25
2006-03-16,179.0,175.25
2006-03-17,172.75,172.75
2006-03-20,173.0,170.75
2006-03-21,170.25,170.25
2006-03-22,173.75,173.75
2006-03-23,172.25,172.25
2006-03-24,172.25,170.75
2006-03-27,174.75,172.75
2006-03-28,172.5,174.0
2006-03-29,174.0,171.25
2006-03-30,171.25,172.25
2006-03-31,172.0,173.5
2006-04-03,170.0,173.5
2006-04-04,173.5,173.5
2006-04-05,175.5,174.5
2006-04-06,175.0,174.0
2006-04-07,173.0,173.0
2006-04-10,172.25,172.25
2006-04-11,171.25,171.25
2006-04-12,171.25,171.75
2006-04-13,172.5,172.5
2006-04-17,174.75,174.75
2006-04-18,176.0,171.5
2006-04-19,171.5,171.5
2006-04-20,172.0,172.0
2006-04-21,172.0,173.5
2006-04-24,175.75,175.75
2006-04-25,177.0,177.0
2006-04-26,178.5,178.75
2006-04-27,179.75,179.75
2006-04-28,188.25,188.25
2006-05-01,188.0,190.25
2006-05-02,186.0,186.0
2006-05-03,188.0,188.0
2006-05-04,188.0,188.0
2006-05-05,189.5,189.5
2006-05-08,183.0,183.0
2006-05-09,187.0,187.0
2006-05-10,188.5,188.5
2006-05-11,190.75,190.75
2006-05-12,195.0,195.0
2006-05-15,197.75,197.75
2006-05-16,197.5,197.5
2006-05-17,197.5,202.25
2006-05-18,202.0,201.75
2006-05-19,201.5,198.25
2006-05-22,195.0,196.0
2006-05-23,195.0,196.5
2006-05-24,197.0,192.5
2006-05-25,192.5,182.5
2006-05-26,183.5,180.25
2006-05-30,183.5,180.25
2006-05-31,180.5,182.0
2006-06-01,183.5,186.75
2006-06-02,187.75,191.5
2006-06-05,190.0,190.5
2006-06-06,192.0,186.5
2006-06-07,186.5,188.0
2006-06-08,191.0,186.5
2006-06-09,186.5,186.5
2006-06-12,191.5,194.75
2006-06-13,194.0,195.25
2006-06-14,196.0,193.0
2006-06-15,193.0,194.25
2006-06-16,197.0,196.5
2006-06-19,196.5,195.75
2006-06-20,196.0,196.5
2006-06-21,201.0,202.0
2006-06-22,201.0,199.0
2006-06-23,202.0,202.0
2006-06-26,202.0,203.5
2006-06-27,210.0,210.0
2006-06-28,208.0,206.75
2006-06-29,206.5,211.0
2006-06-30,212.75,212.75
2006-07-03,214.5,214.5
2006-07-05,217.0,217.0
2006-07-06,219.25,219.25
2006-07-07,217.0,217.0
2006-07-10,229.25,229.25
2006-07-11,231.5,231.5
2006-07-12,225.0,225.0
2006-07-13,228.0,228.0
2006-07-14,227.0,227.0
2006-07-17,202.0,197.5
2006-07-18,197.5,199.75
2006-07-19,193.5,193.5
2006-07-20,193.5,193.25
2006-07-21,193.25,189.75
2006-07-24,190.0,192.25
2006-07-25,194.5,195.0
2006-07-26,195.0,195.5
2006-07-27,195.5,197.75
2006-07-28,195.5,195.5
2006-07-31,195.75,189.5
2006-08-01,192.0,188.5
2006-08-02,190.0,190.5
2006-08-03,189.5,188.0
2006-08-04,184.5,184.5
2006-08-07,184.5,181.0
2006-08-08,179.25,181.5
2006-08-09,178.25,182.0
2006-08-10,182.5,180.75
2006-08-11,182.0,177.5
2006-08-14,176.0,174.5
2006-08-15,179.0,175.0
2006-08-16,175.75,177.5
2006-08-17,177.0,176.75
2006-08-18,174.75,175.25
2006-08-21,177.0,175.75
2006-08-22,174.75,174.5
2006-08-23,175.0,175.25
2006-08-24,176.25,176.5
2006-08-25,176.75,175.5
2006-08-28,177.0,175.75
2006-08-29,176.75,176.0
2006-08-30,176.25,176.25
2006-08-31,177.0,182.0
2006-09-01,183.75,183.75
2006-09-05,188.0,188.0
2006-09-06,188.0,188.0
2006-09-07,186.0,186.0
2006-09-08,188.0,188.0
2006-09-11,188.0,188.0
2006-09-12,189.0,189.0
2006-09-13,188.0,188.0
2006-09-14,190.5,190.5
2006-09-15,200.0,200.5
2006-09-18,201.0,201.25
2006-09-19,201.0,203.0
2006-09-20,203.75,198.25
2006-09-21,198.5,200.25
2006-09-22,200.25,202.75
2006-09-25,201.25,201.0
2006-09-26,200.25,202.25
2006-09-27,202.5,204.0
2006-09-28,203.75,206.5
2006-09-29,206.75,206.25
2006-10-02,206.5,207.5
2006-10-03,208.0,206.75
2006-10-04,207.0,209.75
2006-10-05,210.0,213.25
2006-10-06,212.5,216.25
2006-10-09,216.0,227.0
2006-10-10,227.0,220.25
2006-10-11,223.0,231.5
2006-10-12,230.0,240.25
2006-10-13,237.75,236.5
2006-10-16,235.0,238.0
2006-10-17,238.0,238.25
2006-10-18,238.0,233.0
2006-10-19,232.5,229.0
2006-10-20,229.0,224.25
2006-10-23,224.25,225.5
2006-10-24,226.5,234.0
2006-10-25,235.5,236.75
2006-10-26,236.5,234.5
2006-10-27,235.0,240.5
2006-10-30,240.5,242.75
2006-10-31,244.0,234.0
2006-11-01,233.75,243.75
2006-11-02,246.25,255.5
2006-11-03,256.0,258.25
2006-11-06,264.0,261.0
2006-11-07,261.0,265.25
2006-11-08,265.0,271.25
2006-11-09,271.5,267.0
2006-11-10,265.5,260.25
2006-11-13,256.0,264.5
2006-11-14,264.5,264.0
2006-11-15,268.0,262.25
2006-11-16,262.25,251.5
2006-11-17,252.0,256.25
2006-11-20,257.75,255.25
2006-11-21,251.5,255.5
2006-11-22,257.0,254.75
2006-11-23,254.75,254.75
2006-11-24,254.75,257.5
2006-11-27,259.75,260.0
2006-11-28,260.0,255.5
2006-11-29,256.0,250.0
2006-11-30,257.25,256.75
2006-12-01,256.0,256.0
2006-12-04,248.75,252.0
2006-12-05,252.0,254.0
2006-12-06,249.0,251.0
2006-12-07,253.0,254.25
2006-12-08,251.75,252.0
2006-12-11,252.0,252.5
2006-12-12,255.0,256.0
2006-12-13,263.0,260.0
2006-12-14,265.0,260.0
2006-12-15,264.0,265.75
2006-12-18,265.75,260.0
2006-12-19,260.0,269.75
2006-12-20,269.75,270.25
2006-12-21,273.0,272.75
2006-12-22,272.75,274.0
2006-12-26,275.0,276.75
2006-12-27,276.75,276.25
2006-12-28,276.0,277.75
2006-12-29,277.5,271.0
2007-01-03,275.0,262.0
2007-01-04,261.75,261.25
2007-01-05,262.0,261.75
2007-01-08,263.0,260.75
2007-01-09,261.0,252.25
2007-01-10,252.0,250.0
2007-01-11,251.0,256.75
2007-01-12,256.75,272.25
2007-01-16,275.0,269.0
2007-01-17,269.0,271.0
2007-01-18,274.0,272.25
2007-01-19,272.0,269.25
2007-01-22,268.0,267.0
2007-01-23,267.75,268.0
2007-01-24,268.5,263.25
2007-01-25,265.5,265.75
2007-01-26,266.0,262.25
2007-01-29,262.5,258.5
2007-01-30,259.0,259.25
2007-01-31,259.5,257.25
2007-02-01,257.5,257.0
2007-02-02,256.75,258.0
2007-02-05,260.0,257.75
2007-02-06,258.5,254.0
2007-02-07,254.0,250.0
2007-02-08,250.0,250.0
2007-02-09,251.5,250.5
2007-02-12,250.25,245.25
2007-02-13,245.25,242.0
2007-02-14,243.0,240.75
2007-02-15,243.5,237.5
2007-02-16,237.75,242.5
2007-02-20,243.25,241.5
2007-02-21,243.0,251.0
2007-02-22,250.5,257.0
2007-02-23,255.25,250.5
2007-02-26,250.5,253.0
2007-02-27,252.5,249.25
2007-02-28,251.0,253.0
2007-03-01,252.0,245.5
2007-03-02,242.5,243.0
2007-03-05,243.75,248.0
2007-03-06,260.0,260.0
2007-03-07,268.5,274.0
2007-03-08,280.0,276.0
2007-03-09,280.0,280.0
2007-03-12,278.0,278.0
2007-03-13,280.0,280.0
2007-03-14,278.0,280.0
2007-03-15,264.5,270.0
2007-03-16,270.0,274.5
2007-03-19,276.5,277.0
2007-03-20,276.75,283.5
2007-03-21,283.25,283.75
2007-03-22,283.75,293.75
2007-03-23,293.5,291.0
2007-03-26,291.0,289.5
2007-03-27,289.5,289.5
2007-03-28,290.0,288.25
2007-03-29,289.0,292.0
2007-03-30,291.5,276.5
2007-04-02,275.0,276.5
2007-04-03,276.5,273.0
2007-04-04,272.0,276.0
2007-04-05,276.5,276.5
2007-04-09,277.75,278.0
2007-04-10,278.0,278.5
2007-04-11,279.5,277.5
2007-04-12,275.5,269.5
2007-04-13,270.0,271.0
2007-04-16,269.0,268.75
2007-04-17,269.0,267.0
2007-04-18,267.0,268.25
2007-04-19,267.0,268.0
2007-04-20,268.0,258.0
2007-04-23,260.0,254.0
2007-04-24,254.0,252.5
2007-04-25,252.5,262.0
2007-04-26,265.5,263.5
2007-04-27,264.0,265.0
2007-04-30,265.0,261.0
2007-05-01,262.5,262.5
2007-05-02,262.5,263.0
2007-05-03,266.75,266.0
2007-05-04,266.0,266.0
2007-05-07,264.25,266.0
2007-05-08,260.0,254.75
2007-05-09,251.0,251.0
2007-05-10,248.0,248.0
2007-05-11,253.0,253.0
2007-05-14,253.0,253.0
2007-05-15,256.0,257.5
2007-05-16,259.0,259.5
2007-05-17,262.0,261.5
2007-05-18,262.0,266.25
2007-05-21,264.25,271.25
2007-05-22,273.0,269.25
2007-05-23,270.75,276.5
2007-05-24,277.0,281.0
2007-05-25,281.0,275.5
2007-05-29,276.25,274.0
2007-05-30,274.5,277.5
