date,igv,kbe,spy_close,igv_spy_ratio,kbe_spy_ratio
2006-03-20,8.035991668701172,33.599205017089844,90.38232421875,0.08891109780770706,0.37174530869299793
2006-03-21,7.981642246246338,33.4749641418457,89.81404876708984,0.08886852731630794,0.3727141199107348
2006-03-22,8.020462036132812,33.70479202270508,90.36155700683594,0.0887596706144191,0.37299923926892137
2006-03-23,7.966114044189453,33.55570602416992,90.17440795898438,0.0883411848715749,0.3721200591572795
2006-03-24,7.968054294586182,33.58054733276367,90.24370574951172,0.08829484813825139,0.3721095787663326
2006-03-27,7.948642730712891,33.52464294433594,90.1120376586914,0.08820844514491162,0.3720329027661539
2006-03-28,7.89623498916626,33.183013916015625,89.5575942993164,0.08816935125318046,0.37052149709507004
2006-03-29,7.981642246246338,33.21407699584961,90.1189956665039,0.08856781178280501,0.3685580021193563
2006-03-30,8.055401802062988,33.06497573852539,89.95960998535156,0.08954465013103856,0.36755356925079463
2006-03-31,8.059287071228027,33.058773040771484,89.9803695678711,0.08956717014980702,0.3673998362035583
2006-04-03,8.076753616333008,33.139530181884766,89.91108703613281,0.08983045231215124,0.3685811313633311
2006-04-04,8.074809074401855,33.419063568115234,90.48626708984375,0.08923795106261134,0.369327464187836
2006-04-05,8.121400833129883,33.54328536987305,90.79821014404297,0.08944450358928917,0.3694267245649416
2006-04-06,8.105868339538574,33.481170654296875,90.7011489868164,0.08936897084640877,0.3691372273482823
2006-04-07,8.067049026489258,33.245121002197266,89.77937316894531,0.08985414735864575,0.3702979852581189
2006-04-10,8.115574836730957,33.28863525390625,89.91797637939453,0.09025531004488564,0.3702111256758067
2006-04-11,8.072871208190918,33.16438674926758,89.15562438964844,0.09054808671306028,0.37198311353106495
2006-04-12,8.076753616333008,33.1457405090332,89.32195281982422,0.0904229404010572,0.3710816821917579
2006-04-13,8.082578659057617,33.28863525390625,89.20413970947266,0.09060766333694402,0.37317365945485714
2006-04-17,8.01463794708252,33.25754928588867,89.16949462890625,0.08988093944500611,0.3729700322323853
2006-04-18,8.13886547088623,34.00917434692383,90.58333587646484,0.08984947829682272,0.3754462563986895
2006-04-19,8.187390327453613,33.816612243652344,90.75659942626953,0.09021261681476983,0.37260774927034246
2006-04-20,8.226216316223145,33.86630630493164,90.88134765625,0.09051600277031564,0.3726430910006716
2006-04-21,8.167984008789062,33.74205780029297,90.89517974853516,0.08986157496344789,0.3712194408288933
2006-04-24,8.13886547088623,33.69239044189453,90.72887420654297,0.08970535060710906,0.37135245793080485
2006-04-25,8.14469051361084,33.57434844970703,90.3546142578125,0.0901413899059019,0.3715842154326283
2006-04-26,8.14469051361084,33.84766387939453,90.37541961669922,0.09012063842308175,0.3745228959704912
2006-04-27,8.272802352905273,34.54338836669922,90.81204986572266,0.09109806864989481,0.38038331276274545
2006-04-28,8.160222053527832,35.220455169677734,91.11697387695312,0.08955764997801201,0.3865410984482475
