date,open,close
2006-01-03,215.25,220.0
2006-01-04,219.0,218.25
2006-01-05,218.0,215.5
2006-01-06,215.0,214.25
2006-01-09,213.0,211.0
2006-01-10,211.5,213.25
2006-01-11,213.0,214.5
2006-01-12,214.0,212.75
2006-01-13,212.75,213.5
2006-01-17,210.25,208.75
2006-01-18,208.75,205.75
2006-01-19,206.0,205.0
2006-01-20,205.0,205.0
2006-01-23,204.75,208.25
2006-01-24,208.5,213.25
2006-01-25,212.5,216.5
2006-01-26,215.5,217.0
2006-01-27,216.25,218.75
2006-01-30,218.25,217.75
2006-01-31,217.25,218.75
2006-02-01,217.75,216.5
2006-02-02,216.0,220.5
2006-02-03,220.0,225.25
2006-02-06,224.0,222.75
2006-02-07,222.5,218.0
2006-02-08,218.0,221.25
2006-02-09,222.0,225.5
2006-02-10,226.0,221.25
2006-02-13,222.0,220.75
2006-02-14,221.0,218.75
2006-02-15,218.5,222.0
2006-02-16,221.5,223.5
2006-02-17,223.0,226.5
2006-02-21,225.5,226.0
2006-02-22,226.0,221.5
2006-02-23,221.5,223.0
2006-02-24,223.0,227.75
2006-02-27,228.0,227.5
2006-02-28,227.0,228.0
2006-03-01,227.25,224.25
2006-03-02,224.0,228.5
2006-03-03,228.5,228.75
2006-03-06,228.0,223.0
2006-03-07,223.0,221.0
2006-03-08,221.0,219.0
2006-03-09,219.0,223.25
2006-03-10,223.25,226.0
2006-03-13,223.5,220.5
2006-03-14,219.75,218.75
2006-03-15,231.5,229.25
2006-03-16,229.0,224.5
2006-03-17,224.75,221.5
2006-03-20,221.5,218.25
2006-03-21,218.25,223.5
2006-03-22,223.0,222.5
2006-03-23,222.0,219.25
2006-03-24,219.5,218.75
2006-03-27,219.0,221.75
2006-03-28,221.25,222.25
2006-03-29,222.0,224.25
2006-03-30,224.0,227.75
2006-03-31,227.25,236.0
2006-04-03,235.25,236.5
2006-04-04,236.0,234.5
2006-04-05,234.0,236.25
2006-04-06,236.25,241.5
2006-04-07,241.25,243.0
2006-04-10,243.0,241.25
2006-04-11,240.75,242.0
2006-04-12,242.0,237.0
2006-04-13,237.0,236.25
2006-04-17,237.5,236.5
2006-04-18,236.5,239.25
2006-04-19,239.25,238.5
2006-04-20,238.25,235.75
2006-04-21,235.25,236.5
2006-04-24,236.5,232.75
2006-04-25,232.5,231.0
2006-04-26,231.0,231.5
2006-04-27,231.5,231.25
2006-04-28,231.25,238.25
2006-05-01,237.25,238.0
2006-05-02,237.5,233.25
2006-05-03,233.25,232.25
2006-05-04,231.25,229.75
2006-05-05,230.75,230.75
2006-05-08,230.5,227.0
2006-05-09,227.25,228.5
2006-05-10,230.0,230.0
